,categorie,pays,unite,valeur
1000,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals,25
1001,Individuals never worked from home,European Union - 27 countries (from 2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",62
1002,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of employees and self-employed who used internet within the last year,46
1003,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals working from home,888
1004,Individuals never worked from home,European Union - 27 countries (from 2020),Percentage of individuals working at an external site or on the move,888
1005,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals,25
1006,Individuals never worked from home,European Union - 28 countries (2013-2020),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1007,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of employees and self-employed who used internet within the last year,44
1008,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals working from home,888
1009,Individuals never worked from home,European Union - 28 countries (2013-2020),Percentage of individuals working at an external site or on the move,888
1010,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals,25
1011,Individuals never worked from home,European Union - 27 countries (2007-2013),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",60
1012,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of employees and self-employed who used internet within the last year,44
1013,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals working from home,888
1014,Individuals never worked from home,European Union - 27 countries (2007-2013),Percentage of individuals working at an external site or on the move,888
1015,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals,26
1016,Individuals never worked from home,European Union - 15 countries (1995-2004),"Percentage of individuals who, at work, use any type of computers, portable devices or computerised equipment or machinery",58
1017,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of employees and self-employed who used internet within the last year,46
1018,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals working from home,888
1019,Individuals never worked from home,European Union - 15 countries (1995-2004),Percentage of individuals working at an external site or on the move,888
